id,age,monthly_income,collateral_value,loan_amount,city,state,collateral_debt,verified_restriction,dishonored_checks,expired_debts,banking_debts,commercial_debts,protests,informed_restriction,monthly_payment,informed_purpose,auto_brand,auto_model,auto_year,pre_approved,form_completed,sent_to_analysis,channel,zip_code,landing_page,landing_page_product,gender,education_level
173460,52.0,5668.0,24000.0,5000.0,São Paulo,SP,900.0,0.0,0,0,0,0,0,0.0,161.77,cobrir cheque especial,Nissan,LIVINA 1.6 16V Flex Fuel 5p,2011.0,1.0,0.0,0.0,search,4028XXXX,/emprestimos/solicitar,PersonalLoan,female,Ensino Médio Completo
173455,20.0,5000.0,14200.0,5000.0,Guarulhos,SP,1500.0,0.0,0,0,0,0,0,0.0,279.56,Pagar dívidas ,VW - VolksWagen,Fox City 1.0Mi/ 1.0Mi Total Flex 8V 3p,2004.0,1.0,0.0,0.0,direct,7060XXXX,/emprestimos,Unknown,male,Ensino Médio Completo
173450,48.0,3000.0,17000.0,8000.0,Manaus,AM,1060.0,0.0,0,0,0,0,0,0.0,447.3,Pagamento de Cartão de Crédiito,Fiat,Palio 1.0 ECONOMY Fire Flex 8V 4p,2010.0,1.0,0.0,0.0,affiliates,6906XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Superior Completo
173442,56.0,7500.0,21000.0,12000.0,Maracás,BA,0.0,1.0,0,0,0,0,0,0.0,670.95,comprar um sitio de 20 tarefas ,GM - Chevrolet,Classic/ Classic LS 1.0 VHC FlexPower 4p,2012.0,1.0,0.0,0.0,social,4536XXXX,/emprestimos/solicitar,PersonalLoan,male,Unknown
173437,35.0,3379.0,16500.0,5000.0,Itaquaquecetuba,SP,0.0,0.0,0,0,0,0,0,0.0,333.33,pagar dividas,GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,2008.0,1.0,0.0,0.0,search,8588XXXX,/emprestimos/solicitar,PersonalLoan,male,Ensino Médio Completo
173434,20.0,1500.0,14000.0,10800.0,Petrópolis,RJ,0.0,0.0,0,0,0,0,0,0.0,450.0,Para comprar outro carro ,GM - Chevrolet,Celta Spirit 1.0 MPFI 8V FlexPower 3p,2007.0,1.0,0.0,0.0,display,2566XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Unknown
173433,44.0,2000.0,20000.0,5000.0,Montes Claros,MG,0.0,0.0,0,0,0,0,0,0.0,541.67,QUITAR DIVIDAS,Renault,LOGAN Privilège Hi-Flex 1.6 16V 4p,2008.0,1.0,0.0,0.0,search,3940XXXX,/emprestimos/solicitar,PersonalLoan,female,Ensino Médio Completo
173430,43.0,1900.0,18000.0,5000.0,Guarulhos,SP,0.0,0.0,0,0,0,0,0,0.0,541.67,REFORMA CASA,Ford,Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p,2008.0,1.0,1.0,0.0,search,7178XXXX,/emprestimos/solicitar,PersonalLoan,female,Ensino Médio Completo
173429,43.0,10000.0,24985.0,6000.0,São Bernardo do Campo,SP,0.0,0.0,0,0,0,0,0,0.0,, ,Nissan,MARCH S 1.0 16V Flex Fuel 5p,2013.0,1.0,0.0,1.0,affiliates,9660XXXX,/emprestimos/garantia-veiculo/guia-bolso,Unknown,Unknown,Superior Completo
173425,23.0,1700.0,6500.0,5850.0,Porto Grande,AP,0.0,0.0,0,0,0,0,0,0.0,308.75,Pagar o veiculo,Ford,Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p,2007.0,1.0,0.0,0.0,remarketing,6899XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Ensino Médio Completo
173424,42.0,1600.0,32000.0,10000.0,Araçatuba,SP,0.0,0.0,0,0,0,0,0,0.0,416.67,investir no meu negocio,GM - Chevrolet,Zafira Elite 2.0 MPFI FlexPower 8V  Aut,2010.0,1.0,1.0,0.0,search,1602XXXX,/emprestimos/solicitar,PersonalLoan,male,Unknown
173421,43.0,2500.0,17000.0,15300.0,São Pedro da Aldeia,RJ,0.0,0.0,0,0,0,0,0,0.0,495.01,Para investimento ,Fiat,Siena 1.0/ EX 1.0 mpi Fire/ Fire Flex 8v,2006.0,1.0,1.0,0.0,seo,2894XXXX,/,HomePage,female,Unknown
173415,48.0,4500.0,40000.0,25000.0,belo horizonte,MG,2330.0,0.0,0,0,0,0,0,0.0,1319.44,quitar dividas,Mahindra,SCORPIO 2.6 CD TB Diesel CRDe 4x4,2011.0,1.0,0.0,0.0,display,3184XXXX,/emprestimos/garantia-veiculo/solicitar,Unknown,male,Fundamental Completo
